Machine , SignatureUpdate_DisableScheduledSignatureUpdateonBattery , $(string.SignatureUpdate_DisableScheduledSignatureUpdateonBattery)
Machine , SignatureUpdate_DisableUpdateOnStartupWithoutEngine , $(string.SignatureUpdate_DisableUpdateOnStartupWithoutEngine)
Machine , SignatureUpdate_FallbackOrder , $(string.SignatureUpdate_FallbackOrder)
Machine , SignatureUpdate_ForceUpdateFromMU , $(string.SignatureUpdate_ForceUpdateFromMU)
Machine , SignatureUpdate_RealtimeSignatureDelivery , $(string.SignatureUpdate_RealtimeSignatureDelivery)
Machine , SignatureUpdate_ScheduleDay , $(string.SignatureUpdate_ScheduleDay)
Machine , SignatureUpdate_ScheduleTime , $(string.SignatureUpdate_ScheduleTime)
Machine , SignatureUpdate_SignatureDisableNotification , $(string.SignatureUpdate_SignatureDisableNotification)
Machine , SignatureUpdate_SignatureUpdateCatchupInterval , $(string.SignatureUpdate_SignatureUpdateCatchupInterval)
Machine , SignatureUpdate_SignatureUpdateInterval , $(string.SignatureUpdate_SignatureUpdateInterval)
Machine , SignatureUpdate_UpdateOnStartup , $(string.SignatureUpdate_UpdateOnStartup)
Machine , DisableBlockAtFirstSeen , $(string.DisableBlockAtFirstSeen)
Machine , Spynet_LocalSettingOverrideSpynetReporting , $(string.Spynet_LocalSettingOverrideSpynetReporting)
Machine , SpynetReporting , $(string.SpynetReporting)
Machine , SubmitSamplesConsent , $(string.SubmitSamplesConsent)
Machine , Threats_ThreatIdDefaultAction , $(string.Threats_ThreatIdDefaultAction)
Machine , Threats_ThreatSeverityDefaultAction , $(string.Threats_ThreatSeverityDefaultAction)
Machine , UX_Configuration_UILockdown , $(string.UX_Configuration_UILockdown)
Machine , UX_Configuration_SuppressRebootNotification , $(string.UX_Configuration_SuppressRebootNotification)
Machine , UX_Configuration_Notification_Suppress , $(string.UX_Configuration_Notification_Suppress)
Machine , UX_Configuration_CustomDefaultActionToastString , $(string.UX_Configuration_CustomDefaultActionToastString)
Machine , MpEngine_MpCloudBlockLevel , $(string.MpCloudBlockLevel)
Machine , MpEngine_MpBafsExtendedTimeout , $(string.MpBafsExtendedTimeout)
Machine , MpEngine_EnableFileHashComputation , $(string.MpEngine_EnableFileHashComputation)
Machine , ExploitGuard_EnableNetworkProtection , $(string.ExploitGuard_EnableNetworkProtection)
Machine , ExploitGuard_ControlledFolderAccess_EnableControlledFolderAccess , $(string.ExploitGuard_ControlledFolderAccess_EnableControlledFolderAccess)
Machine , ExploitGuard_ASR_Rules , $(string.ExploitGuard_ASR_Rules)
Machine , ExploitGuard_ASR_ASROnlyExclusions , $(string.ExploitGuard_ASR_ASROnlyExclusions)
Machine , ExploitGuard_ControlledFolderAccess_AllowedApplications , $(string.ExploitGuard_ControlledFolderAccess_AllowedApplications)
Machine , ExploitGuard_ControlledFolderAccess_ProtectedFolders , $(string.ExploitGuard_ControlledFolderAccess_ProtectedFolders)
Machine , SymlinkEvaluation , $(string.SymlinkEvaluation)
Machine , LongPathsEnabled , $(string.LongPathsEnabled)
Machine , DisableCompression , $(string.DisableCompression)
Machine , DisableEncryption , $(string.DisableEncryption)
Machine , EnablePagefileEncryption , $(string.EnablePagefileEncryption)
Machine , ShortNameCreationSettings , $(string.ShortNameCreationSettings)
Machine , DisableDeleteNotification , $(string.DisableDeleteNotification)
Machine , TxfDeprecatedFunctionality , $(string.TxfDeprecatedFunctionality)
Machine , OSManagedAuth_Name , $(string.OSManagedAuth_Name)
Machine , BlockedCommandsList_Name , $(string.BlockedCommandsList_Name)
Machine , IgnoreDefaultList_Name , $(string.IgnoreDefaultList_Name)
Machine , IgnoreLocalList_Name , $(string.IgnoreLocalList_Name)
Machine , StandardUserAuthorizationFailureDuration_Name , $(string.StandardUserAuthorizationFailureDuration_Name)
Machine , StandardUserAuthorizationFailureIndividualThreshold_Name , $(string.StandardUserAuthorizationFailureIndividualThreshold_Name)
Machine , StandardUserAuthorizationFailureTotalThreshold_Name , $(string.StandardUserAuthorizationFailureTotalThreshold_Name)
Machine , UseLegacyDAP_Name , $(string.UseLegacyDAP_Name)
Machine , OptIntoDSHA_Name , $(string.OptIntoDSHA_Name)
Machine , ClearTPMIfNotReady_Name , $(string.ClearTPMIfNotReady_Name)
Machine , emitlili , $(string.emitlili)
Machine , ForestSearch , $(string.forestsearch)
Machine , CbacAndArmor , $(string.CbacAndArmor)
Machine , TicketSizeThreshold , $(string.TicketSizeThreshold)
Machine , RequestCompoundId , $(string.RequestCompoundId)
Machine , PKINITFreshness , $(string.PKINITFreshness)
Machine , EE_EnablePersistentTimeStamp , $(string.EE_EnablePersistentTimeStamp)
Machine , PCH_ReportShutdownEvents , $(string.PCH_ReportShutdownEvents)
Machine , ShutdownEventTrackerStateFile , $(string.ShutdownEventTrackerStateFile)
Machine , ShutdownReason , $(string.ShutdownReason)
Both , AllowTelemetry , $(string.AllowTelemetry)
Machine , TelemetryProxy , $(string.TelemetryProxy)
Machine , CommercialIdPolicy , $(string.CommercialId)
Machine , DisableEnterpriseAuthProxy , $(string.DisableEnterpriseAuthProxy)
Machine , LimitEnhancedDiagnosticDataWindowsAnalytics , $(string.LimitEnhancedDiagnosticDataWindowsAnalytics)
